name,total_volume_sold,total_volume_unsold
10 S/FRIED CHKN,205,193
BFY CHKN HOTPOT,1929,1862
GBF K/PRAWN 140,12,10
CHK & LEEK C/B,684,677
VENISON PATE,24,17
BROOT CUMIN DRE,12,0
PRP CHEF CARRTS,969,806
LGE COTTAGE PIE,1196,1107
STEAK PIE150G,543,522
SAL&BROC QUICH,1139,1129
RTR BAC/LAT 2-3,184,145
BEEF HOTPOT X1,804,761
BROC CROWN HT,126,124
12 MOZZ BITES,190,194
KING ED 2.5KG,836,789
J/ADD PEPPER,33,30
CHP BROC COUS,11,5
UNSMK OB BR BCN,11,10
RF TOM/BAS CHIC,11,8
BROCCOLI CROWN,1300,1193
COD&SLMN NDLS,249,253
HAM TAGLIATELLE,1646,1597
SWT CHILLI SCE,85,90
UNSMKD STREAKY,138,136
PILAU RICE,1950,1797
CHKN S&S SCE,1923,1924
LEEKS,2035,1919
PUFF STEAK ALE,556,509
COU CHCKN/WINE,1068,1025
PRP T/RUNNER HT,123,104
DI PEAS & CARRT,398,319
PEAR CONF. X4,468,456
LUX LEMON & LIM,81,78
SMPLY CHS&ONION,461,329
SCOT 150ML SGLE,50,53
AG SB CHRYSANTH,10,8
BRD WLT HAM X4,295,290
RST CHKN PIE,403,392
CHK TAGLIATELLE,1335,1281
DUCK CROQUETTES,157,154
IRISH WAFER HAM,39,43
DI GARLIC BAGTT,184,192
MINI BLACK PEPP,29,31
SGL MANDARIN DS,500,369
HADD F/CAKE,723,724
UK SML MUSHRMS,985,900
ORG CARROT BAG,535,468
BOS BEANS SW PE,588,600
