upc,name,total_volume_sold,total_value_sold,total_volume_unsold,total_value_unsold
129046,SPR RICE & QUIN,49,105.5,148,315.7
129312,BABY SPROUTS,1361,1361,528,528
129725,STEAK PIE 200G,308,616,378,756
129886,L/SOLE GOUJONS,324,1458.25,563,2534.25
132220,CHKN CHEESE/HAM,718,2513.3,702,2459.7
132282,SAL OAK SMK 4,59,265.5,90,405.5
132572,RST CHK CSLW SL,6,15,4,10
132619,8 POPPADOMS,5,9,2,3.6
132657,PRP CORN COB,133,266,219,438
132664,2 TOFFEE PUDDNG,36,72,43,86
133265,MINI POPPADUMS,30,30,1,1
133418,WHITE BLOOMER,7,9.1,4,5.2
133432,SEEDED BLOOMER,6,7.8,6,7.8
134576,2 BREADED PLAIC,17,68,57,228
134637,CHNS FAVOURITES,112,1120,232,2320
134958,GAMMON STEAK RA,58,232,96,384
135160,PF KING PRAWN M,21,84,57,228
135214,PF KING PRAWN L,26,104,97,388
135221,VIETNAMESE STIC,27,108,83,332
135337,BBQ CHK BCN MLT,31,124,114,456
135511,TANDOORI LAMB,18,108,116,696
135634,PF CHILLI GARLI,74,259,210,735
135719,24 MINI PANCAKE,1,2,4,8
136044,BLUEBERRY COCON,5,6.5,12,15.6
136068,MANGO AND PASSI,5,6.5,4,5.2
136181,BLUEBERRY XL,2,10,3,15
136259,VANILLA COCONUT,3,3.9,4,5.2
136280,HADD F/CAKE,395,671.5,418,710.6
136365,ROAST POTATOES,163,326,186,372.2
136389,GBF S/GREEN SLD,1,2.2,0,0
137607,SMPLY HAM&MUSTA,5,10,6,12
138239,1L FC APPLE,2,2,5,5
138246,CHMPN SEED/GRN,7,10.5,5,7.5
138666,P&M R/LEICESTR,8,4,5,2.5
138888,EC BIRTHDAY CK,1,8,2,16
139892,S/SALT CROUTONS,0,0,1,1
140164,WHOLEMEAL THICK,3,3.45,8,9.2
140249,AA ROASTING JNT,314,2198,524,3669
140478,AVO TWIN PACK,88,179,45,91.2
140775,SULTANA CAKE,0,0,2,4.2
141352,CHCKN CURRY X1,266,532,373,746
141802,12 SB CHS & TOM,448,1793.8,610,2445.4
142403,GBF SSGE PENNE,0,0,1,3.2
142410,GBF CHKN ARRBTA,7,21.8,2,6.2
142441,GBF 4 CHS RVOLI,1,3.2,0,0
142526,GBF SPG CARBNRA,6,19.2,5,16
142540,GBF CHK RISOTTO,2,6.4,0,0
142762,GBF MAC CHEESE,1,3.2,0,0
142779,GBF CHK TAGTLLE,5,15.8,1,3.2
142885,GBF PAPPERDELLE,8,25.6,1,3.2
142960,GBF HAM TAGTLLE,5,15.6,2,6
143004,PARSNIPS LSE,46.272,60.1536,4.73,6.149
143042,GBF SPG & MTBLL,1,3.2,0,0
143288,FRITES (NEW),4,10,3,7.3
143332,ROAST BEEF,10,34.3,8,26.9
143868,SPECIALITY ORG,0,0,2,5
143998,SBERRY TEACAKE,7,11.55,3,4.95
144025,1/2 LEG LAMB,38,518.7,117,1574.55
144117,CHK RST DRMSTK,132,561,293,1247.3
145404,EARLY JERSEYS,133,332.5,38,95
145442,SGL LEMON CHSCK,43,64.5,60,90.1
145602,STKY TOFF PUD C,0,0,3,8.4
145701,STRWB & CRM CK,2,5.6,0,0
145718,4 ALMD BKWLL CK,0,0,1,2.25
145770,4 STRWB SUNDAE,17,34,8,16
145800,9 FRT MERINGUE,2,6,3,9
145930,OATY BLOOMER,4,5.2,6,7.8
145954,DIP RF HOUM,122,195.7,214,342.6
145985,2 L/D LEMONSOLE,3,16.5,0,0
146036,SOURDOUGH LOAF,2,2.6,3,3.9
146166,ULT WMEAL SEEDE,1,1,1,1
146203,5 ICED BUNS,1,1,3,3
146654,STRAWBERRY SUND,11,16.5,20,30.1
146661,SKINY STRWBRY M,43,25.8,43,25.83
146685,BANOFFEE POT,0,0,5,7.5
146708,"MANGO, PASSION",2,3,11,16.6
146791,SMALL CHORIZO P,2,2,1,1
147064,CREAMY BEEF STR,63,315,269,1345
147217,MINI NEW POTS,1813,3628,816,1632
147262,HOG ROAST BAKE,72,288,156,624
147279,SLOW RST DUCK L,169,760.5,237,1066.5
147323,RB MAC & CHS,35,140,45,180
147330,CHILLI BEEF PIE,32,128,71,284
148023,LG VEGTBLE BAKE,549,1427.4,845,2197
148030,SM VEGTBLE BAKE,321,609.9,325,617.5
148498,T/C STEAK 480G,12,60,51,255
148504,HAGGIS & NEEPS,44,118.8,39,105.3
149051,STEAK PEPPER S,39,244,29,172.25
149976,C.FLOWER COUS,41,51.25,85,106.25
149990,BROCC COUS,48,60,97,121.25
150163,CHOCOLATE ROLL,18,48.8,20,54
150255,S/C CHERRY PIE,159,477,309,927
150415,BUTTERTUBS PASS,1,3,0,0
150453,MRS BELL'S BLUE,3,10.5,8,28
150460,SGL LUXY SHRY T,101,152,107,160.6
150576,BUTTON MILL,2,6,2,6
150583,ISLE OF ARRAN C,2,6,1,3
150712,CAWS CENARTH CH,0,0,1,4.5
150958,ROAST BEEF MEAL,175,787.75,245,1102.5
151030,WILT HAM W/T,88,264,116,348
151047,PASTRAMI SL,76,228,181,543
151153,2 STRAWB SCONES,95,190.1,92,184.4
